minute,msg_count
27712660,154
27712661,129
27712662,157
27712663,122
27712664,116
27712665,397
27712666,293
27712667,141
27712668,122
27712669,97
27712670,169
27712671,215
27712672,170
27712673,331
27712674,280
27712675,348
27712676,210
27712677,319
27712678,235
27712679,191
27712680,291
27712681,381
27712682,407
27712683,141
27712684,91
27712685,125
27712686,174
27712687,286
27712688,310
27712689,378
27712690,225
27712691,373
27712692,339
27712693,420
27712694,291
27712695,214
27712696,245
27712697,169
27712698,155
27712699,216
27712700,152
27712701,144
27712702,191
27712703,364
27712704,128
27712705,250
27712706,186
27712707,305
27712708,208
27712709,266
27712710,228
27712711,523
27712712,372
27712713,517
27712714,333
27712715,413
27712716,186
27712717,107
27712718,85
27712719,209
27712720,316
27712721,158
27712722,472
27712723,228
27712724,96
27712725,196
27712726,275
27712727,310
27712728,188
27712729,138
27712730,303
27712731,187
27712732,131
27712733,175
27712734,115
27712735,253
27712736,108
27712737,135
27712738,152
27712739,138
27712740,121
27712741,100
27712742,115
27712743,98
27712744,145
27712745,110
27712746,110
27712747,125
27712748,140
27712749,268
27712750,274
27712751,411
27712752,290
27712753,365
27712754,377
27712755,231
27712756,447
27712757,728
27712758,306
27712759,397
27712760,359
27712761,333
27712762,200
27712763,199
27712764,103
27712765,75
27712766,90
27712767,92
27712768,105
27712769,238
27712770,223
27712771,227
27712772,160
27712773,154
27712774,168
27712775,303
27712776,135
27712777,143
27712778,150
27712779,245
27712780,129
27712781,138
27712782,99
27712783,122
27712784,288
27712785,158
27712786,206
27712787,148
27712788,188
27712789,373
27712790,175
27712791,135
27712792,167
27712793,248
27712794,241
27712795,329
27712796,220
27712797,299
27712798,121
27712799,81
27712800,82
27712801,120
27712802,114
27712803,162
27712804,168
27712805,146
27712806,258
27712807,176
27712808,133
27712809,114
27712810,104
27712811,218
27712812,274
27712813,306
27712814,141
27712815,156
27712816,178
27712817,155
27712818,127
27712819,142
27712820,133
27712821,102
27712822,136
27712823,139
27712824,118
27712825,153
27712826,128
27712827,47
27712828,107
27712829,102
27712830,98
27712831,118
27712832,130
27712833,84
27712834,74
27712835,131
27712836,104
27712837,126
27712838,258
27712839,242
27712840,220
27712841,135
27712842,118
27712843,107
27712844,191
27712845,133
27712846,203
27712847,163
27712848,121
27712849,102
27712850,162
27712851,246
27712852,158
27712853,176
27712854,206
27712855,210
27712856,148
27712857,203
27712858,171
27712859,109
27712860,106
27712861,138
27712862,102
27712863,127
27712864,320
27712865,267
27712866,246
27712867,426
27712868,276
27712869,142
27712870,98
27712871,80
27712872,130
27712873,92
27712874,143
27712875,118
27712876,171
27712877,119
27712878,360
27712879,621
27712880,444
27712881,579
27712882,618
27712883,446
27712884,530
27712885,459
27712886,83
27712887,112
27712888,46
27712889,52
27712890,46
27712891,50
27712892,30
